package	version	architecture	source_package	source_version
openssh-sftp-server	1:8.9p1-3ubuntu0.16	arm64	openssh	1:8.9p1-3ubuntu0.16
openssl	3.0.2-0ubuntu1.26	arm64	openssl	3.0.2-0ubuntu1.26
passwd	1:4.8.1-2ubuntu2.2	arm64	shadow	1:4.8.1-2ubuntu2.2
perl-base	5.34.0-3ubuntu1.3	arm64	perl	5.34.0-3ubuntu1.3
procps	2:3.3.17-6ubuntu2.1	arm64	procps	2:3.3.17-6ubuntu2.1
sed	4.8-1ubuntu2	arm64	sed	4.8-1ubuntu2
sensible-utils	0.0.17	all	sensible-utils	0.0.17
sysvinit-utils	3.01-1ubuntu1	arm64	sysvinit	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2	arm64	tar	1.34+dfsg-1ubuntu0.1.22.04.2
ubuntu-keyring	2021.03.26	all	ubuntu-keyring	2021.03.26
ucf	3.0043	all	ucf	3.0043
usrmerge	25ubuntu2	all	usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.4	arm64	util-linux	2.37.2-4ubuntu3.4
zlib1g	1:1.2.11.dfsg-2ubuntu9.2	arm64	zlib	1:1.2.11.dfsg-2ubuntu9.2
